lat, lon
35.2104669989,-97.441810864
35.2104669318,-97.4418095498
35.2104667635,-97.4418082513
35.2104664945,-97.441806974
35.2104661291,-97.4418057381
35.2104656677,-97.4418045454
35.2104651172,-97.4418034145
35.2104644783,-97.4418023476
35.2104637649,-97.4418013671
35.210462972,-97.4418004662
35.2104621208,-97.4417996692
35.2104612063,-97.4417989702
35.2104602446,-97.4417983824
35.2104592391,-97.4417979077
35.2104582046,-97.4417975529
35.2104571407,-97.4417973186
35.2104560709,-97.4417972098
35.2104549923,-97.4417972257
35.2104539242,-97.4417973662
35.2104528682,-97.441797631
35.2104518366,-97.4417980178
35.2104508417,-97.4417985218
35.2104498921,-97.4417991378
35.2104489924,-97.441799863
35.2104481543,-97.4418006881
