lat, lon,theta,x,y,psi,vel,psi_dot,??,???
35.1948699926,-97.438696590743.5827118302,2.18646227519,9.67076880225,-15144.3899324,0.00107009261904,1810.79012439,3921.40581275,-3915.22506211,0.160877266163
35.1948733217,-97.438707055844.4033579032,0.314492264256,11.4614611221,-18272.8200813,2.43040831704E-05,2182.40504025,4917.67403153,-4911.47577652,0.000808147958667
35.1948737753,-97.438718098844.14155949,-9.83293518178,7.75854172228,-20591.2291088,5.17610369522E-07,1865.50731496,5692.41498434,-5686.21635473,-1.52032595335E-06
35.1948767343,-97.438732287145.9996814295,1.81939413655,-2.68935258994,-24477.9967315,1.10236322097E-08,3248.98093279,7054.93852988,-7048.73989229,-5.13735088095E-06
35.1948775552,-97.438743043246.6435314059,-4.57202571707,-1.93205777726,-27723.7014365,2.3472696018E-10,2866.62007941,8239.03274021,-8232.83410246,-5.15350918871E-06
35.1948790106,-97.438756671647.1890966677,0.656404665447,-5.26183226982,-30879.324791,5.05829564824E-12,2964.64549263,9431.53982731,-9425.34118956,-5.15358137259E-06
35.1948799488,-97.438771921247.7892141822,9.78874069933,-4.18317052681,-34022.4758234,1.96268410972E-13,3165.63581235,10657.7923137,-10651.593676,-5.15358169506E-06
35.1948799974,-97.438784419648.2106645549,12.3566902086,-1.80535562119,-36988.6142291,2.14281778929E-13,2154.38536866,11845.8196635,-11839.6210257,-5.1535816965E-06
35.1948850256,-97.43879893149.2577665495,8.98813298188,-8.21132334993,-40244.2428419,1.38499422549E-13,3673.4943666,13177.6732485,-13171.4746108,-5.1535816965E-06
35.1948852858,-97.438808054149.9894210995,9.08843544413,-9.26293122515,-43315.9006428,1.25445594965E-13,4227.63629223,14467.4916565,-14461.2930187,-5.1535816965E-06
35.1948889301,-97.438825246351.1524234729,8.77881687984,-21.5804159125,-46403.5585746,1.21452683598E-13,4660.18608445,15788.3708871,-15782.1722494,-5.1535816965E-06
35.1948899446,-97.438836500751.5367352788,4.99000455575,-21.6723281833,-49539.9646723,1.08936751586E-13,4510.84787884,17148.8231398,-17142.624502,-5.1535816965E-06
35.1948917044,-97.438851569551.9386450614,-10.6532313688,-26.7516799384,-52649.564265,8.28484262782E-14,4511.93250797,18514.995716,-18508.7970782,-5.1535816965E-06
35.1948928381,-97.438863455852.2125074564,-16.2461005556,-27.7096781874,-55591.5501247,1.13010632837E-13,2955.42549749,19826.7514108,-19820.5527731,-5.1535816965E-06
35.1948928968,-97.438876703753.2562062076,-18.0494509646,-25.4692177176,-58818.1453181,1.1813206739E-13,4799.03190442,21286.5515362,-21280.3528985,-5.1535816965E-06
35.1948962218,-97.438893212153.9748973113,-11.8334193272,-12.0195492005,-61887.700628,1.25225461421E-13,5083.67088492,22689.1140776,-22682.9154398,-5.1535816965E-06
35.1948966753,-97.438905787454.7000769138,-9.48230745153,-2.26146398543,-64937.9746814,1.38093384087E-13,5330.39289209,24093.7795953,-24087.5809576,-5.1535816965E-06
35.1948986414,-97.438923353455.2506700444,-4.53833940185,-6.67547052861,-68015.8518015,1.60166121514E-13,5376.48568838,25523.5216143,-25517.3229765,-5.1535816965E-06
35.1948999297,-97.438935344755.3620181485,-14.7552961106,-23.7989410343,-70902.1878534,1.47299199607E-13,3796.9836579,26871.2314324,-26865.0327947,-5.1535816965E-06
35.1948999964,-97.438950851256.7835858308,-12.3140445834,-26.3489116802,-74082.0788921,1.4041387074E-13,6010.23782444,28368.7659281,-28362.5672903,-5.1535816965E-06
35.1949035724,-97.438964458656.9187948584,-12.6537727268,-23.5297856987,-77061.6762533,1.32434636754E-13,7084.91584872,29779.4928945,-29773.2942568,-5.1535816965E-06
35.1949042625,-97.438979970958.1405131269,-5.24101237121,-31.1276547496,-80131.536006,5.14283916931E-05,6630.23303842,31237.6623885,-31231.4495335,0.00986401006216
35.194904298,-97.438994153658.2328002308,-14.1455155676,-21.9382821984,-83223.0487698,-0.00450531748906,5985.60597394,32717.0517749,-32710.8767396,-1.07427293783
35.1949092697,-97.439006772955.734207069,-28.5797914682,-20.6833558595,-86253.0200628,-0.0111455971644,6316.52206428,34166.3080984,-34161.1461986,-1.43150872961
35.1949099621,-97.439022748348.6351813361,-30.7953134163,-13.2406377454,-89244.4573295,-0.000444341432142,3461.14763628,35601.0656791,-35596.1200346,-0.0375360542909
35.1949108919,-97.439031478442.2331765703,-29.5607427391,-24.0339920579,-92532.2866774,-1.45289132004E-05,6340.40408006,37185.3169691,-37180.3795607,-0.000725799561068
35.1949119427,-97.43904469135.7290803324,-25.4195843408,-30.9251784692,-95672.0113178,-3.98727909608E-07,7859.44338123,38704.7068809,-38699.7697136,-1.41693768461E-05
35.194911999,-97.439055988329.3913749254,-25.0567160907,-23.3226406798,-98820.4951833,0.00261930243584,5275.07456282,40228.3998637,-40223.1921246,0.479282325434
35.1949156039,-97.43906182725.0665247994,-16.204000252,-17.6078551969,-102390.441355,0.00292381164937,6988.59206913,41961.7267968,-41956.308871,0.50295287078
35.194917667,-97.439063832121.5793974191,-22.7847920554,-27.4735170464,-105763.444708,0.000193788735574,7149.89101733,43600.8192033,-43595.3140835,0.0132039100614
35.1949198793,-97.439069520617.5193469223,-20.6578763833,-26.4452781589,-109048.373166,4.15356843508E-06,4183.73455901,45203.014174,-45197.5060548,6.54799685076E-05
35.1949223538,-97.43907531615.440139686,-8.75819118062,-33.4078934251,-112565.022568,8.84598926315E-08,8536.55292578,46919.1103155,-46913.6021322,5.41202379186E-06
35.1949233459,-97.43907963611.1308407047,4.13971113783,-39.4313287232,-116127.94361,1.88396376698E-09,7620.794821,48663.1883376,-48657.680153,5.14368272242E-06
35.1949265544,-97.43907997178.05585334787,3.31908264164,-40.7378900823,-119409.16019,4.02563751269E-11,6063.19283949,50268.3699775,-50262.8617929,5.14248396442E-06
35.1949278843,-97.43907999784.18596781818,10.0277851761,-32.2596583433,-123210.340828,6.59651134104E-13,7964.73922871,52131.0651558,-52125.5569712,5.14247860922E-06
35.1949298905,-97.4390799998355.658491473,9.66117844805,-31.3656976868,-123703.445946,6.51864836179E-13,68.3877125012,52546.1208744,-52540.6126898,5.14247858529E-06
35.1949333261,-97.43908353.757288223,9.63700122376,-31.3726178409,-123731.485646,6.42024710452E-13,49.6312274138,52558.9437157,-52553.4355311,5.14247858519E-06
35.1949347237,-97.43908350.131928105,9.2465237828,-31.3173596618,-123796.960974,6.52513565914E-13,169.584914767,52589.3647906,-52583.856606,5.14247858519E-06
35.1949384055,-97.4390735991347.031927079,9.13368413539,-31.1591895291,-123885.905805,6.41427493056E-13,394.926254963,52631.4972995,-52625.9891148,5.14247858519E-06
35.1949399175,-97.4390702797343.186813454,8.98480240935,-31.2656099971,-124028.704235,6.50967087463E-13,332.449562948,52699.9156945,-52694.4075099,5.14247858519E-06
35.1949423218,-97.4390646237339.711942334,9.11093414024,-31.3563362299,-124197.247697,6.56667008763E-13,413.715620065,52781.2443906,-52775.736206,5.14247858519E-06
35.1949434648,-97.4390614881336.344783371,9.2181859938,-30.5023682639,-124396.874713,6.41442151232E-13,555.504679295,52877.9421878,-52872.4340032,5.14247858519E-06
35.1949461533,-97.4390537148332.961896792,8.88486751822,-30.2033654888,-124627.252744,6.76868966945E-13,780.329279224,52989.9456902,-52984.4375056,5.14247858519E-06
35.1949479461,-97.4390424479329.296203677,8.93149570675,-30.6406956416,-124913.157023,6.32115160898E-13,663.909655001,53129.2615293,-53123.7533446,5.14247858519E-06
35.1949498954,-97.4390323471326.385179279,9.40043804611,-30.5856717023,-125214.103775,0.0012450983075,851.658530584,53276.2250346,-53270.5568495,0.102562709841
35.1949517377,-97.4390241335323.967092173,8.84371230051,-29.3990210176,-125534.663396,2.69233104036E-05,540.890861902,53433.2001471,-53427.5126301,0.000513955386983
35.1949537881,-97.4390139204321.5841627,9.49272234467,-30.4477954129,-125899.628799,5.73392863425E-07,1067.09665857,53612.0441143,-53606.3561824,-9.95450469356E-07
35.1949538942,-97.439000563318.93185391,7.38487070614,-29.094958252,-126295.714948,1.22113206559E-08,925.143812793,53806.4591087,-53800.7711679,-3.29588640211E-06
35.1949575031,-97.4389923448316.609930301,6.98762599453,-28.1474921327,-126694.924799,2.60616404943E-10,1128.80306705,54002.2533961,-53996.5654552,-3.30616312193E-06
35.1949576925,-97.4389761128315.222674822,6.60768708251,-28.6117808253,-127130.622332,0.0043707095766,1043.17839021,54216.6429063,-54210.4980813,0.467381528119
35.1949596107,-97.4389653149315.714384753,6.48646547418,-26.5432922639,-127558.779657,9.30985936097E-05,1047.07303355,54428.2519374,-54422.0397387,0.00208516897206
35.1949599832,-97.4389540219316.599917758,7.7649346164,-25.2305866982,-127976.694135,-0.0153665452764,1129.79863891,54634.9433194,-54629.0244238,-3.04255023211
35.1949624115,-97.4389419863322.87762745,8.29186498921,-24.6922640783,-128372.493055,-0.0121004007762,906.355991054,54833.1358085,-54828.437173,-1.97688109527
